Q_INCA,p_druck_bereinigt_1,p_druck_bereinigt_2,p_druck_bereinigt_3,p_druck_bereinigt_4,p_druck_bereinigt_5,p_druck_bereinigt_6,p_druck_bereinigt_7,p_druck_bereinigt_8,p_druck_bereinigt_9,p_druck_bereinigt_10,p_druck_bereinigt_11,p_druck_bereinigt_12,p_druck_bereinigt_13,p_druck_bereinigt_14,p_druck_bereinigt_15,p_druck_bereinigt_16,p_druck_bereinigt_17,p_druck_bereinigt_18,p_druck_bereinigt_19,p_druck_bereinigt_20,nEng
191.66,-24124.0,-23579.0,-23810.0,-23293.0,-23689.0,-22598.0,-15388.0,-9467.4,-2298.9,0.0,-4833.5,-23555.0,-39375.0,-44574.0,-47193.0,-45414.0,-40240.0,-34632.0,-27714.0,-25668.0,1386.8
46.437,-6778.0,-4542.5,-6354.9,-4948.1,-5213.1,-4895.8,-5542.4,-4653.4,-3956.3,0.0,-1261.4,-2857.5,-11457.0,-10667.0,-12390.0,-13447.0,-13262.0,-11463.0,-10947.0,-6872.1,1807.0
44.60761170405371,-6778.1875,-5167.9375,-6910.4375,-5516.6875,-5797.1875,-6572.6875,-5055.75,-6134.5,-2091.375,-1275.375,0.0,-5553.0625,-9476.4375,-8713.5625,-10722.125,-10317.063,-9393.25,-11105.438,-7534.6875,-7539.0,1420.15217391304
22.108220134892303,-3502.375,-3596.75,-3471.25,-3538.125,-3446.75,-3369.25,-3454.875,-3184.625,-1038.375,0.0,-786.875,-5780.5,-6684.625,-6195.625,-6324.5,-6642.375,-6424.5,-6154.375,-4839.25,-3781.125,813.5
186.46,-6773.6,-8710.9,-13826.0,-16912.0,-18751.0,-20867.0,-17066.0,-10132.0,-7889.5,-2579.0,0.0,-4298.9,-13577.0,-21055.0,-24496.0,-27983.0,-24534.0,-16912.0,-14380.0,-9204.6,1853.5
28.632,-5490.6,-4167.0,-3767.1,-4887.5,-3789.3,-4054.1,-4262.9,-4305.5,-2831.6,0.0,-2746.8,-5318.8,-6510.8,-7826.5,-6963.5,-7820.6,-6862.6,-7643.8,-6716.9,-4612.1,1793.5
207.25,-26631.0,-26789.0,-26654.0,-26676.0,-26850.0,-21636.0,-11920.0,-4419.6,0.0,-1706.6,-38751.0,-56167.0,-57384.0,-57443.0,-57336.0,-50509.0,-40402.0,-32827.0,-28364.0,-26940.0,680.0
93.1727127234141,-11734.375,-12517.125,-11900.375,-11565.125,-11280.5,-11957.875,-10988.25,-9782.875,-4354.375,-2178.375,0.0,-10078.375,-20486.625,-22687.0,-25285.25,-28101.625,-25008.5,-23676.625,-18782.5,-14829.875,1847.0
184.59,-21440.0,-21352.0,-21218.0,-21441.0,-21400.0,-19066.0,-11838.0,-3839.8,0.0,-327.75,-23373.0,-39452.0,-43620.0,-43249.0,-43890.0,-42368.0,-35769.0,-28677.0,-24201.0,-21804.0,960.0
23.873539272066804,-3520.75,-4842.625,-3633.125,-4742.5,-3695.625,-4810.125,-3774.5,-4598.0,-1619.875,-1050.0,0.0,-7119.875,-6512.375,-8556.25,-6859.625,-8604.0,-7173.5,-8056.75,-5472.375,-5937.875,1213.5
176.78518166057998,-22813.75,-22714.625,-22662.75,-22562.125,-22506.75,-21174.375,-14605.0,-6867.5,-2878.875,-119.5,0.0,-9784.375,-32377.25,-40670.25,-43183.75,-41943.25,-36874.125,-30448.875,-25718.875,-23662.125,1053.5
210.09,-22390.0,-22432.0,-20256.0,-20779.0,-21660.0,-20129.0,-14385.0,-10621.0,-6009.6,0.0,-15.625,-1544.7,-11216.0,-24488.0,-37989.0,-40926.0,-37417.0,-32601.0,-27494.0,-21897.0,1733.5
165.3,-24095.0,-21999.0,-22383.0,-22461.0,-21918.0,-22563.0,-18495.0,-11503.0,-7065.3,0.0,-2950.6,-19741.0,-35172.0,-42705.0,-45812.0,-46352.0,-41841.0,-36232.0,-28860.0,-23913.0,1620.3
40.403942282429796,-4643.25,-4345.25,-4609.75,-4676.5,-4432.375,-4363.375,-4584.75,-3712.125,-1254.875,0.0,-1053.75,-8850.125,-10645.125,-10115.75,-10209.625,-10522.75,-10446.625,-8741.875,-6016.75,-4847.625,766.652173913044
206.434950972025,-26208.75,-25804.5,-25151.375,-25765.125,-25109.75,-24589.875,-18043.5,-11437.875,-4666.25,-22.625,0.0,-6648.125,-24741.625,-41556.125,-47116.5,-50384.625,-42458.875,-37430.75,-31998.125,-27353.875,1606.98
149.698211237715,-19088.25,-17363.5,-18937.5,-17362.25,-18237.625,-17585.75,-14840.125,-9880.125,-4248.75,-1604.625,0.0,-8074.875,-26997.0,-33568.25,-38046.75,-38397.125,-33527.125,-29671.875,-21662.5,-19816.875,1386.84
25.2265592989506,-1939.75,-3025.625,-1902.375,-2728.5,-2048.125,-2541.375,-2191.375,-2560.5,-963.0,0.0,-3916.875,-6263.125,-6648.125,-7274.375,-6602.125,-6968.875,-6684.0,-7061.25,-4460.0,-3897.5,1246.78260869565
76.6418229345548,-9724.625,-7939.25,-10299.563,-8819.5625,-8017.125,-9321.0625,-9125.3125,-7181.875,-3543.5,-2674.25,0.0,-4884.0625,-14467.0,-14772.688,-14971.313,-17624.563000000002,-18036.688000000002,-14342.625,-13346.0,-12250.438,1773.5
26.135,-3535.8,-1570.3,-2130.1,-2882.4,-1489.0,-1871.5,-2402.8,-1942.3,-1343.9,-748.25,0.0,-885.63,-4843.4,-6461.8,-5104.1,-6320.3,-6963.6,-5587.6,-5275.9,-3664.6,1767.0
186.25613832803901,-24568.875,-24894.625,-24146.625,-24327.875,-24377.125,-23268.875,-15799.125,-8897.25,-2832.625,0.0,-3255.375,-26482.75,-40602.5,-46832.125,-47149.75,-46988.5,-40502.125,-34561.75,-28281.75,-25689.5,1253.5
108.50145328904101,-15376.0,-15417.0,-15349.0,-15355.0,-15379.75,-15370.125,-12590.5,-5812.75,-1160.125,0.0,-10155.5,-30224.125,-33386.625,-33874.125,-33822.625,-33954.625,-28793.25,-21501.625,-17142.375,-15546.0,673.5
