n_components,n_bga,n_ict,bga_pinCount,bga_min_pin_grid,bga_max_pin_grid,bga_mean_pin_grid,n_holes_a,n_holes_b,holes_area_a,holes_area_b,area_occupied_by_holes_a,area_occupied_by_holes_b,n_components_a,n_components_b,n_power_components,cooling_layer_a_area,cooling_layer_b_area,has_cooling_layer_a,has_cooling_layer_b,layout_layer_area,area_occupied_by_components_b,area_occupied_by_components_a,area_occupied_by_cooling_layer_a,area_occupied_by_cooling_layer_b,is_via,is_viap,number_of_net,max_height,number_of_gnd,number_of_conducting_layer,num_geom_cool_area_B,num_geom_cool_area_A,num_x_comps,x_component_pinCount,area_x_comps,mean_area_x_comps,per_power_comps_area_a,per_power_comps_area_b,test_caf2_2000h,test_caf2_1600h,caf2_500h,caf2_1000h,caf2_1500h,caf2_2000h,ruf_max_voltage,ruf_cond_inner_thickness,ruf_cond_outer_thickness,Product class
2212,0,646,0,0,0,0,2,0,0.1637,0,0.000498741,0,1232,980,0,0,0,FALSE,FALSE,328.2264,0.15468687,0.2552654,0,0,TRUE,FALSE,977,4142,12,4,0,0,248,252,20.838243,0.084025174,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
205,0,0,0,0,0,0,4,0,0,0,0,0,122,83,0,0,0,FALSE,FALSE,71.2467,0.058719914,0.058719914,0,0,TRUE,FALSE,11,410,0,4,0,0,28,28,1.0752,0.0384,0,0,0,0,0,0,0,0,2500,0.0249,0.054,4
657,0,195,0,0,0,0,2,0,0.1995,0,0.002365403,0,245,412,20,0,6.6429,FALSE,TRUE,84.3408,0.16518496,0.45529988,0,0.07876259,TRUE,FALSE,286,1266,7,4,4,0,7,41,18.558533,2.651219,0,0.40577158,0,0,0,0,0,0,2500,0.0249,0.054,7
247,0,17,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,FALSE,FALSE,214.5168,0.08398689,0.2906714,0,0,TRUE,FALSE,105,494,3,6,0,0,5,5,3.3425,0.6685,0,0,0,0,0,0,0,0,2500,0.0249,0.086,7
642,0,192,0,0,0,0,4,0,0.4684,0,0.006184796,0,257,385,0,0,0,FALSE,FALSE,75.7341,0.24084777,0.8059446,0,0,TRUE,TRUE,253,1230,3,6,0,0,8,55,31.21159,3.9014487,0,0,0,0,0,0,0,0,1500,0.0249,0.039,7
4048,1,1317,516,0,0,0,2,0,0,0,0,0,1785,2263,117,16.0416,0,TRUE,FALSE,488.3067,0.2563886,0.2585508,0.032851484,0,TRUE,FALSE,1739,2318,48,6,0,5,44,181,51.01565,0.60018414,0.36615425,0,0,0,0,1,0,0,0,0.0249,0.054,7
184,0,0,0,0,0,0,2,0,0.1349,0,0.005253177,0,177,7,0,0,0,FALSE,FALSE,25.6797,0.05088113,0.3901565,0,0,TRUE,TRUE,280,368,4,8,0,0,3,108,2.663902,0.88796735,0,0,0,0,0,0,0,0,0,0.0249,0.039,5
925,0,57,0,0,0,0,4,0,0,0,0,0,540,385,0,0,0,FALSE,FALSE,287.2656,0.22849533,0.55915374,0,0,TRUE,FALSE,626,1828,10,6,0,0,5,129,85.19424,17.038847,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
198,0,53,0,0,0,0,1,0,0.1234,0,0.003586198,0,93,105,0,0,0,FALSE,FALSE,34.4097,0.19903108,0.37091577,0,0,TRUE,FALSE,73,356,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.039,0.039,7
1445,0,392,0,0,0,0,4,0,0.468,0,0.002247696,0,705,740,0,0,0,FALSE,FALSE,208.2132,0.32467738,0.78026116,0,0,TRUE,FALSE,684,2696,17,6,0,0,3,204,97.088234,32.362743,0,0,0,0,0,0,0,0,1500,0.0249,0.054,0
126,0,0,0,0,0,0,18,0,1.6939,0,0.003427092,0,126,0,0,0,0,FALSE,FALSE,494.2674,0.003427092,0.45757863,0,0,TRUE,FALSE,79,252,0,2,0,0,6,60,60.324,10.054,0,0,0,0,0,0,0,0,1500,0.039,0.039,4
1287,0,369,0,0,0,0,4,0,0.468,0,0.003062751,0,483,804,125,20.169,1.2186,TRUE,TRUE,152.8038,0.24861395,0.8537409,0.13199279,0.007974933,TRUE,FALSE,552,2564,37,4,1,2,3,176,102.54751,34.182503,0.046754923,0.7738388,0,0,0,0,0,0,2500,0.0249,0.054,0
556,0,0,0,0,0,0,0,0,0,0,0,0,489,67,0,0,0,FALSE,FALSE,12.9285,0.12081061,0.74445397,0,0,TRUE,TRUE,185,1112,11,6,0,0,45,45,0.4505728,0.010012729,0,0,0,0,0,0,0,0,0,0,0,7
1180,0,0,0,0,0,0,0,0,0,0,0,0,1009,171,0,0,0,FALSE,FALSE,22.5108,0.1734012,0.63105434,0,0,TRUE,TRUE,331,2360,16,7,0,0,80,80,0.68313783,0.008539223,0,0,0,0,0,0,0,0,0,0,0,7
32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,FALSE,FALSE,134.865,0.03717718,0.103293665,0,0,TRUE,FALSE,230,64,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.0249,0.086,4
275,0,15,0,0,0,0,0,0,0,0,0,0,88,187,0,0,0,FALSE,FALSE,45.2574,0.13263933,0.3651005,0,0,TRUE,FALSE,225,550,2,4,0,0,3,19,1.3852111,0.46173704,0,0,0,0,0,0,0,0,1500,0.0249,0.054,6
2186,0,830,0,0,0,0,3,0,0.2675,0,0.00090569,0,1314,872,0,0,0,FALSE,FALSE,295.3548,0.13000348,0.17673354,0,0,TRUE,FALSE,1026,4372,3,4,0,0,193,200,5.9603996,0.0308829,0,0,0,0,0,0,0,0,0,0.0249,0.054,7
3762,0,1212,0,0,0,0,6,0,0.6996,0,0.001333411,0,2340,1422,385,0,60.489,FALSE,TRUE,524.6694,0.22952408,0.7031052,0,0.11528974,TRUE,FALSE,1652,7498,20,6,2,0,5,389,173.30576,34.66115,0,0.67799103,0,0,0,1,0,0,1500,0.0249,0.054,0
2172,0,590,0,0,0,0,5,0,0.586,0,0.002145334,0,874,1298,0,0,0,FALSE,FALSE,273.1509,0.3041994,0.53143144,0,0,TRUE,FALSE,872,4096,31,6,0,0,3,270,78.65924,26.219748,0,0,0,0,0,0,0,0,1500,0.0249,0.054,0
1273,0,321,0,0,0,0,2,0,0,0,0,0,711,562,0,0,0,FALSE,FALSE,94.7745,0.31436968,0.27716085,0,0,TRUE,TRUE,602,641,10,6,0,0,34,103,6.4222116,0.24700813,0,0,0,0,0,0,0,0,0,0.045666665,0.039,7
1113,0,420,0,0,0,0,2,0,0.139,0,0.001149345,0,315,798,2,0.4509,0,TRUE,FALSE,120.9384,0.24958962,0.28764212,0.003728344,0,TRUE,FALSE,585,2136,9,6,0,2,13,85,8.559497,0.6584228,0,0,0,0,0,0,0,0,1500,0.0249,0.039,2
1725,0,528,0,0,0,0,4,0,0.4676,0,0.002249713,0,654,1071,224,38.2185,4.1634,TRUE,TRUE,207.8487,0.25807068,0.67806387,0.18387654,0.020030918,TRUE,FALSE,798,3436,33,4,2,2,3,220,100.996445,33.66548,0.06752489,0.619854,0,0,0,1,0,0,1500,0.0249,0.054,4
205,0,59,0,0,0,0,4,0,0.2852,0,0.008069285,0,93,112,0,0,0,FALSE,FALSE,35.3439,0.21665403,0.28111407,0,0,TRUE,FALSE,87,410,2,4,0,0,23,41,1.0716639,0.046594083,0,0,0,0,0,0,0,0,0,0.0557,0.039,7
43,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,FALSE,FALSE,6.7716,0,0.3026187,0,0,TRUE,FALSE,11,78,1,2,0,0,1,7,0.65761286,0.65761286,0,0,0,0,0,0,0,0,0,0,0,3
184,0,0,0,0,0,0,2,0,0.1349,0,0.005253177,0,177,7,0,0,0,FALSE,FALSE,25.6797,0.05088113,0.3900241,0,0,TRUE,TRUE,280,368,4,8,0,0,3,108,2.663902,0.88796735,0,0,0,0,0,0,0,0,1500,0.0249,0.039,5
765,0,262,0,0,0,0,5,0,0.6312,0,0.005638045,0,413,352,26,24.3045,0,TRUE,FALSE,111.9537,0.32794523,0.29511887,0.21709421,0,TRUE,FALSE,368,1442,7,6,0,1,17,42,5.3050804,0.31206357,0,0,0,0,0,0,0,0,0,0.045433335,0.054,2
16,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,FALSE,FALSE,35.91,0.008699527,0.22528265,0,0,TRUE,FALSE,14,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866,0.054,4
1569,0,452,0,0,0,0,4,0,0.4688,0,0.002476967,0,699,870,167,13.6017,14.5665,TRUE,TRUE,189.2637,0.27916306,0.7484793,0.07186639,0.07696404,TRUE,FALSE,620,3048,28,4,1,2,3,170,83.92761,27.975872,0.7187631,0.6711564,0,0,0,0,0,0,1500,0.0249,0.054,0
100,0,30,0,0,0,0,0,0,0,0,0,0,83,17,0,0,0,FALSE,FALSE,5.031,0.14651163,0.4932546,0,0,TRUE,TRUE,51,200,2,4,0,0,8,17,0.35156384,0.04394548,0,0,0,0,0,0,0,0,1500,0.0249,0.039,1
341,0,41,0,0,0,0,2,0,0.247,0,0.0077861,0,143,198,0,0,0,FALSE,FALSE,31.7232,0.28879496,0.9034098,0,0,TRUE,FALSE,164,660,14,4,0,0,1,48,16.41065,16.41065,0,0,0,0,0,0,0,0,2500,0.0249,0.054,3
1678,0,425,0,0,0,0,2,0,0.1114,0,0.000726306,0,922,756,0,0,0,FALSE,FALSE,153.3789,0.37717912,0.48595655,0,0,TRUE,TRUE,841,3356,4,8,0,0,8,254,18.989645,2.3737056,0,0,0,0,0,0,0,0,0,0,0,7
1957,0,737,0,0,0,0,3,0,0.2678,0,0.000964155,0,1004,953,0,0,0,FALSE,FALSE,277.7562,0.17629199,0.22377543,0,0,TRUE,FALSE,786,3712,0,4,0,0,3,192,14.409515,4.8031716,0,0,0,0,0,0,0,0,1500,0.0249,0.039,7
33,0,0,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,FALSE,FALSE,740.5677,0,0.007224188,0,0,TRUE,FALSE,37,66,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0.0249,0.054,3
94,0,0,0,0,0,0,6,0,0.5214,0,0.000722351,0,92,2,0,0,0,FALSE,FALSE,721.8099,0.003227165,0.33162498,0,0,TRUE,FALSE,7877,188,36,6,0,0,4,244,41.118,10.2795,0,0,0,0,0,0,0,0,2500,0.0249,0.054,4
1983,0,558,0,0,0,0,0,0,0,0,0,0,1247,736,298,0,94.3461,FALSE,TRUE,405.2196,0.5643725,0.40903473,0,0.23282708,TRUE,FALSE,826,1197,24,6,7,0,3,22,66.28399,13.256798,0,0.4516477,0,0,0,0,0,0,0,0.0557,0.054,7
351,0,0,0,0,0,0,2,0,0,0,0,0,175,176,0,0,0,FALSE,FALSE,94.7745,0.12666638,0.1312481,0,0,TRUE,FALSE,212,168,0,6,0,0,6,75,5.4692163,0.45576805,0,0,0,0,0,0,0,0,0,0.0249,0.054,4
856,0,319,0,0,0,0,0,0,0,0,0,0,401,455,0,0,0,FALSE,FALSE,65.4381,0.2960555,0.35983992,0,0,TRUE,FALSE,357,1712,5,6,0,0,28,37,1.3919411,0.04971218,0,0,0,0,0,0,0,0,1500,0.0557,0.039,7
451,0,99,0,0,0,0,3,0,0.2026,0,0.006216307,0,160,291,0,0,0,FALSE,FALSE,32.5917,0.36064702,0.39476308,0,0,TRUE,FALSE,247,880,7,6,0,0,3,11,0.8816,0.29386666,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
1529,0,424,0,0,0,0,4,0,0.4688,0,0.002477109,0,758,771,0,0,0,FALSE,FALSE,189.2529,0.25073504,0.74630487,0,0,TRUE,FALSE,615,2926,23,4,0,0,3,170,83.92761,27.975872,0,0,0,0,0,0,0,0,1500,0.0249,0.054,0
906,0,246,0,0,0,0,4,0,0,0,0,0,534,372,0,0,0,FALSE,FALSE,104.9328,0.20283394,0.9143993,0,0,TRUE,FALSE,381,1736,19,4,0,0,2,127,69.55078,34.77539,0,0,0,0,0,0,0,0,1000,0.3,0.018,0
107,0,79,0,0,0,0,0,0,0,0,0,0,26,81,0,0,0,FALSE,FALSE,4.1985,0.05332857,0.24013337,0,0,FALSE,TRUE,47,37,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058333334,0.018,7
631,0,2,0,0,0,0,1,0,0.0783,0,0.000786178,0,308,323,0,0,0,FALSE,FALSE,99.5958,0.2318355,0.26146027,0,0,TRUE,FALSE,389,1262,5,4,0,0,6,74,11.783476,1.9639126,0,0,0,0,0,0,0,0,1500,0.0249,0.054,6
42,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,FALSE,FALSE,6.3261,0,0.3099224,0,0,TRUE,FALSE,10,74,1,2,0,0,3,3,0.4344,0.1448,0,0,0,0,0,0,0,0,0,0,0,2
63,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,FALSE,FALSE,740.5677,0,0.007337614,0,0,TRUE,FALSE,76,126,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.0249,0.039,3
3775,1,1212,516,0,0,0,4,0,0,0,0,0,2395,1380,382,0,60.5718,FALSE,TRUE,524.6694,0.2269798,0.70530206,0,0.11544756,TRUE,FALSE,1652,2352,20,6,2,0,5,389,184.73706,26.391008,0,0.6615207,0,0,0,1,0,0,0,0.0249,0.054,0
1876,1,537,416,1,1,1,4,0,0,0,0,0,829,1047,235,21.8457,15.5952,TRUE,TRUE,247.5297,0.28635386,0.6340568,0.08825486,0.06300335,TRUE,FALSE,831,1069,28,6,2,2,4,243,82.68458,16.536917,0.5285617,0.51240766,0,0,0,0,0,0,0,0.0249,0.054,0
1515,0,445,0,0,0,0,4,0,0.4692,0,0.002483273,0,619,896,166,13.2735,14.7147,TRUE,TRUE,188.9442,0.33971202,0.73560184,0.0702509,0.07787855,TRUE,FALSE,614,2860,28,4,5,8,3,176,80.76486,26.92162,0.60453534,0.5453254,0,0,0,0,0,0,1500,0.0249,0.054,0
76,0,2,0,0,0,0,8,0,0.8704,0,0.001205858,0,44,32,0,0,0,FALSE,FALSE,721.8099,0.104182415,0.10893492,0,0,TRUE,FALSE,7915,152,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.0249,0.039,4
105,0,8,0,0,0,0,0,0,0,0,0,0,49,56,0,0,0,FALSE,FALSE,9.9306,0.28992206,0.49305177,0,0,TRUE,TRUE,113,210,1,4,0,0,3,8,2.1518,0.7172667,0,0,0,0,0,0,0,0,0,0.0249,0.054,6
2378,0,0,0,0,0,0,28,0,2.502,0,0.004616107,0,2378,0,0,0,0,FALSE,FALSE,542.0151,0.004616107,0.005114987,0,0,TRUE,FALSE,2009,4756,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0.0249,0.054,4
33,0,5,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,FALSE,FALSE,3.7296,0.01485414,0.23141892,0,0,TRUE,FALSE,14,66,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.0249,0.054,1
23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,FALSE,FALSE,2.3238,0,0.2537631,0,0,TRUE,FALSE,10,38,1,3,0,0,3,3,0.004094737,0.001364912,0,0,0,0,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,0,0,0,0,0,118,178,0,0,0,FALSE,FALSE,67.7511,0.4169492,0.4644561,0,0,TRUE,TRUE,205,592,8,6,0,0,7,50,29.21228,4.173183,0,0,0,0,0,0,0,0,1500,0.0249,0.054,6
1266,0,364,0,0,0,0,4,0,0.4684,0,0.00337023,0,584,682,0,0,0,FALSE,FALSE,138.9816,0.3633958,0.6602726,0,0,TRUE,FALSE,632,2396,23,8,0,0,3,180,50.2139,16.737967,0,0,0,0,0,0,0,0,1000,0.025,0.054,0
144,0,16,0,0,0,0,2,0,0.0649,0,0.014422222,0,66,78,0,0,0,FALSE,FALSE,4.5,0.32219875,0.20266667,0,0,TRUE,TRUE,94,288,4,6,0,0,7,8,0.062494356,0.008927765,0,0,0,0,0,0,0,0,1500,0.0249,0.0249,6
41,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,FALSE,FALSE,6.3261,0,0.23102643,0,0,TRUE,FALSE,9,72,0,2,0,0,1,1,0.08549629,0.08549629,0,0,0,0,0,0,0,0,0,0,0,7
319,0,108,0,0,0,0,0,0,0,0,0,0,111,208,0,0,0,FALSE,FALSE,22.3731,0.35363898,0.41290656,0,0,TRUE,FALSE,126,608,3,4,0,0,1,11,2.2955,2.2955,0,0,0,0,0,0,0,0,1500,0.0249,0.054,1
1810,0,518,0,0,0,0,5,0,0.5865,0,0.002143309,0,775,1035,259,42.489,0,TRUE,FALSE,273.6423,0.2539657,0.4738185,0.15527205,0,TRUE,FALSE,929,3554,33,6,0,3,3,286,75.165344,25.055115,0,0,0,0,0,1,0,0,0,0.0249,0.054,0
283,0,95,0,0,0,0,2,0,0,0,0,0,128,155,0,0,0,FALSE,FALSE,31.8402,0.24644946,0.90463936,0,0,TRUE,FALSE,128,534,1,4,0,0,2,34,20.466398,10.233199,0,0,0,0,0,0,0,0,1000,0.3,0.018,7
2846,1,829,516,0,0,0,4,0,0,0,0,0,1743,1103,291,0,67.8789,FALSE,TRUE,452.5362,0.16602969,0.7357206,0,0.14999662,TRUE,FALSE,1212,1713,26,8,12,0,5,362,195.15944,27.87992,0,0.55032563,0,0,0,1,0,0,0,0.0249,0.054,0
176,0,0,0,0,0,0,6,0,0.5214,0,0.000722351,0,117,59,0,0,0,FALSE,FALSE,721.8099,0.031747416,0.08529725,0,0,TRUE,FALSE,7942,352,36,6,0,0,29,223,32.5128,1.1211311,0,0,0,0,0,0,0,0,1500,0.0249,0.054,4
67,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,FALSE,FALSE,7.2207,0,0.2543936,0,0,TRUE,FALSE,15,124,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1001,0,291,0,0,0,0,1,0,0.1112,0,0.00067415,0,638,363,0,0,0,FALSE,FALSE,164.9484,0.52509063,0.18323028,0,0,TRUE,FALSE,472,1936,11,6,0,0,16,53,43.981857,2.748866,0,0,0,0,0,0,0,0,1000,0.3,0.018,7
143,0,78,0,0,0,0,0,0,0,0,0,0,123,20,0,0,0,FALSE,FALSE,15.9201,0.3569136,0.2896213,0,0,TRUE,FALSE,80,123,5,6,0,0,2,80,4.4024,1.1006,0,0,0,0,0,0,0,0,0,0.0249,0.054,2
606,0,239,0,0,0,0,2,0,0.1389,0,0.002763602,0,305,301,1,0.5301,0,TRUE,FALSE,50.2605,0.3088793,0.2867278,0.01054705,0,TRUE,TRUE,340,1148,4,6,0,1,11,49,4.000475,0.36367953,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
2190,0,581,0,0,0,0,4,0,0.4688,0,0.001463989,0,1079,1111,0,0,0,FALSE,FALSE,320.2209,0.28413123,0.6233865,0,0,TRUE,FALSE,946,4342,26,4,0,0,3,352,119.39214,39.797382,0,0,0,0,0,0,0,0,1500,0.0249,0.054,0
160,0,40,0,0,0,0,1,0,0.0311,0,0.001610907,0,44,116,0,0,0,FALSE,FALSE,19.3059,0.16176403,0.28609908,0,0,TRUE,FALSE,51,300,2,2,0,0,1,13,0.2822,0.2822,0,0,0,0,0,0,0,0,1500,0.054,0.054,7
1773,0,547,0,0,0,0,4,0,0.4692,0,0.002323419,0,713,1060,226,33.6591,3.3912,TRUE,TRUE,201.9438,0.2679075,0.72818965,0.16667558,0.016792791,TRUE,FALSE,777,3396,33,4,2,2,3,220,101.25445,33.75148,0.066184185,0.6569061,0,0,0,1,0,0,1500,0.0249,0.054,0
256,0,72,0,0,0,0,1,0,0.0311,0,0.001329316,0,94,162,0,0,0,FALSE,FALSE,23.3955,0.21538587,0.3136398,0,0,TRUE,FALSE,90,460,1,4,0,0,1,26,0.49886,0.49886,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
710,0,206,0,0,0,0,4,0,0.4684,0,0.006184796,0,271,439,0,0,0,FALSE,FALSE,75.7341,0.25623977,0.8060635,0,0,TRUE,TRUE,276,1362,5,6,0,0,16,63,31.21159,1.9507244,0,0,0,0,0,0,0,0,2500,0.0249,0.039,7
454,0,131,0,0,0,0,2,0,0.1392,0,0.003814315,0,209,245,0,0,0,FALSE,FALSE,36.4941,0.22460274,0.4513243,0,0,TRUE,FALSE,161,848,2,4,0,0,1,32,5.528875,5.528875,0,0,0,0,0,0,0,0,1500,0.0249,0.054,7
